orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
6985826711,30238026,5,0,0.0,0.0,0.0,0.0,0.0,0.0
442540270,30237613,25,25,37.857142857142854,53.0,7.483314773547883,530.0,530.0,0.0
6985826711,6855299029,15,0,0.0,0.0,0.0,0.0,0.0,0.0
2989836087,8097436674,15,15,105.0297619047619,150.0,21.602468994692867,1175.0,1175.0,0.0
30237867,8214234926,5,5,92.82142857142857,100.0,0.0,968.0,968.0,0.0
4897232219,4897232219,30,0,0.0,0.0,0.0,0.0,0.0,0.0
1812294093,8655000700,5,5,57.39285714285714,85.0,0.0,772.0,772.0,0.0
cluster_30237612_6670690974,4897232218,50,0,0.0,0.0,0.0,0.0,0.0,0.0
6762205324,cluster_301572944_71643547_9803583623,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30243367,30247432,20,20,75.21428571428571,103.75,15.562374497485916,896.0,1069.0,27.712812921102035
cluster_301572460_301572949_71643543,442540270,5,5,67.69642857142857,90.0,0.0,860.0,860.0,0.0
6762205324,12884439749,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30247166,11370726443,10,10,88.21428571428571,97.5,2.5,766.0,1000.5,234.5
9223593605,555187275,35,0,0.0,0.0,0.0,0.0,0.0,0.0
30237617,30243370,10,0,0.0,0.0,0.0,0.0,0.0,0.0
8235926364,30237640,20,0,0.0,0.0,0.0,0.0,0.0,0.0
359104407,cluster_30237612_6670690974,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30238029,1311770053,35,0,0.0,0.0,0.0,0.0,0.0,0.0
8655000700,30237617,10,0,0.0,0.0,0.0,0.0,0.0,0.0
30238026,8210106342,30,0,0.0,0.0,0.0,0.0,0.0,0.0
8193762124,30247167,10,0,0.0,0.0,0.0,0.0,0.0,0.0
6762205335,30237637,15,15,106.01785714285714,140.0,7.0710678118654755,1395.0,1395.0,0.0
1311773884,12884439746,5,0,0.0,0.0,0.0,0.0,0.0,0.0
3213093362,8224714481,10,0,0.0,0.0,0.0,0.0,0.0,0.0
8235926364,30238026,15,0,0.0,0.0,0.0,0.0,0.0,0.0
